method, time, visited, solutions
montecarlo, 5000, 22652.0, 17.0
montecarloR2S, 5000, 12848.0, 62.0
domain_heuristics, 10000, 17753, 46
best_first_R2S, 10000, 30627, 0
montecarlo, 10000, 28177.0, 30.0
montecarloR2S, 10000, 19972.0, 120.0
domain_heuristics, 500, 1476, 22
best_first_R2S, 500, 4592, 0
montecarlo, 500, 4022.0, 0.0
montecarloR2S, 500, 2229.0, 0.0
domain_heuristics, 1000, 2501, 22
best_first_R2S, 1000, 7954, 0
montecarlo, 1000, 6033.0, 0.0
montecarloR2S, 1000, 3587.0, 1.0
domain_heuristics, 2000, 4223, 22
best_first_R2S, 2000, 13694, 0
montecarlo, 2000, 10770.0, 0.0
montecarloR2S, 2000, 5342.0, 3.0
domain_heuristics, 5000, 9020, 22
best_first_R2S, 5000, 25912, 0
montecarlo, 5000, 21470.0, 2.0
montecarloR2S, 5000, 10033.0, 7.0
domain_heuristics, 10000, 17548, 22
best_first_R2S, 10000, 31898, 0
montecarlo, 10000, 22155.0, 2.0
montecarloR2S, 10000, 14789.0, 9.0
domain_heuristics, 500, 1312, 18
best_first_R2S, 500, 5248, 0
montecarlo, 500, 3900.0, 1.0
montecarloR2S, 500, 2509.0, 4.0
domain_heuristics, 1000, 2501, 44
best_first_R2S, 1000, 7995, 0
montecarlo, 1000, 6484.0, 2.0
montecarloR2S, 1000, 4040.0, 7.0
domain_heuristics, 2000, 4305, 44
best_first_R2S, 2000, 11931, 0
montecarlo, 2000, 10699.0, 3.0
montecarloR2S, 2000, 6202.0, 15.0
domain_heuristics, 5000, 9143, 44
best_first_R2S, 5000, 25912, 0
montecarlo, 5000, 21837.0, 12.0
montecarloR2S, 5000, 11981.0, 42.0
domain_heuristics, 10000, 17794, 44
best_first_R2S, 10000, 35178, 0
montecarlo, 10000, 27658.0, 21.0
montecarloR2S, 10000, 18362.0, 60.0
